away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Corbin Burnes,Milwaukee Brewers,Cloudy,2022-04-07,4,5,0,0,0,663178,Kyle Hendricks,Chicago Cubs,44,Wrigley Field,"14 mph, Out To CF"
Shane Bieber,Cleveland Guardians,Cloudy,2022-04-07,1,3,0,0,0,662766,Zack Greinke,Kansas City Royals,47,Kauffman Stadium,"16 mph, L To R"
JT Brubaker,Pittsburgh Pirates,Cloudy,2022-04-07,0,9,1,0,1,662021,Adam Wainwright,St. Louis Cardinals,50,Busch Stadium,"20 mph, Out To RF"
Tylor Megill,New York Mets,Cloudy,2022-04-07,5,1,0,0,0,662571,Patrick Corbin,Washington Nationals,52,Nationals Park,"4 mph, Out To RF"
Tyler Mahle,Cincinnati Reds,Partly Cloudy,2022-04-07,6,3,0,0,0,661577,Max Fried,Atlanta Braves,63,Truist Park,"15 mph, R To L"
Framber Valdez,Houston Astros,Clear,2022-04-07,3,1,0,0,0,661042,Shohei Ohtani,Los Angeles Angels,93,Angel Stadium,"6 mph, Out To RF"
Yu Darvish,San Diego Padres,Clear,2022-04-07,2,4,0,0,0,663418,Madison Bumgarner,Arizona Diamondbacks,93,Chase Field,"6 mph, L To R"
Nathan Eovaldi,Boston Red Sox,Partly Cloudy,2022-04-08,5,6,1,3,2,661333,Gerrit Cole,New York Yankees,59,Yankee Stadium,"10 mph, Out To CF"
Lucas Giolito,Chicago White Sox,Cloudy,2022-04-08,4,5,1,1,0,662888,Eduardo Rodriguez,Detroit Tigers,45,Comerica Park,"10 mph, R To L"
Frankie Montas,Oakland Athletics,Sunny,2022-04-08,5,9,1,0,1,661131,Aaron Nola,Philadelphia Phillies,64,Citizens Bank Park,"10 mph, Out To CF"
John Means,Baltimore Orioles,Dome,2022-04-08,1,2,0,0,0,661918,Shane McClanahan,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Walker Buehler,Los Angeles Dodgers,Sunny,2022-04-08,5,3,0,0,0,662933,Kyle Freeland,Colorado Rockies,66,Coors Field,"6 mph, R To L"
Robbie Ray,Seattle Mariners,Sunny,2022-04-08,2,1,1,2,0,661750,Joe Ryan,Minnesota Twins,45,Target Field,"17 mph, Out To RF"
Sandy Alcantara,Miami Marlins,Sunny,2022-04-08,5,6,0,0,0,662124,Logan Webb,San Francisco Giants,69,Oracle Park,"23 mph, Out To RF"
Max Scherzer,New York Mets,Cloudy,2022-04-08,7,3,0,0,0,662559,Josiah Gray,Washington Nationals,62,Nationals Park,"6 mph, Out To CF"
Jon Gray,Texas Rangers,Roof Closed,2022-04-08,8,10,1,4,0,661782,José Berríos,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Reiver Sanmartin,Cincinnati Reds,Cloudy,2022-04-08,6,7,0,0,0,661576,Charlie Morton,Atlanta Braves,46,Truist Park,"3 mph, R To L"
Jake Odorizzi,Houston Astros,Clear,2022-04-08,13,6,1,1,2,661041,Reid Detmers,Los Angeles Angels,93,Angel Stadium,"10 mph, R To L"
Sean Manaea,San Diego Padres,Clear,2022-04-08,3,0,0,0,0,663417,Merrill Kelly,Arizona Diamondbacks,95,Chase Field,"2 mph, Calm"
Jordan Lyles,Baltimore Orioles,Dome,2022-04-09,3,5,0,0,0,661917,Drew Rasmussen,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Dylan Cease,Chicago White Sox,Cloudy,2022-04-09,5,2,1,2,0,662864,Casey Mize,Detroit Tigers,39,Comerica Park,"5 mph, Out To CF"
Logan Gilbert,Seattle Mariners,Sunny,2022-04-09,4,3,1,0,1,661756,Sonny Gray,Minnesota Twins,48,Target Field,"2 mph, Out To CF"
Mitch Keller,Pittsburgh Pirates,Sunny,2022-04-09,2,6,1,1,1,662020,Miles Mikolas,St. Louis Cardinals,53,Busch Stadium,"10 mph, Out To CF"
Brandon Woodruff,Milwaukee Brewers,Partly Cloudy,2022-04-09,0,9,1,0,3,663205,Justin Steele,Chicago Cubs,44,Wrigley Field,"11 mph, L To R"
Dane Dunning,Texas Rangers,Roof Closed,2022-04-09,3,4,1,0,2,661803,Kevin Gausman,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Cole Irvin,Oakland Athletics,Partly Cloudy,2022-04-09,2,4,1,0,2,661130,Kyle Gibson,Philadelphia Phillies,54,Citizens Bank Park,"9 mph, L To R"
Pablo López,Miami Marlins,Sunny,2022-04-09,2,1,0,0,0,662123,Carlos Rodón,San Francisco Giants,64,Oracle Park,"14 mph, Varies"
Nick Pivetta,Boston Red Sox,Cloudy,2022-04-09,2,4,0,0,0,661332,Luis Severino,New York Yankees,54,Yankee Stadium,"10 mph, Out To RF"
Zach Plesac,Cleveland Guardians,Sunny,2022-04-09,0,1,0,0,0,662765,Brad Keller,Kansas City Royals,63,Kauffman Stadium,"4 mph, R To L"
Chris Bassitt,New York Mets,Overcast,2022-04-09,5,0,0,0,0,662588,Joan Adon,Washington Nationals,52,Nationals Park,"6 mph, L To R"
Vladimir Gutierrez,Cincinnati Reds,Partly Cloudy,2022-04-09,1,2,1,0,2,661575,Kyle Wright,Atlanta Braves,54,Truist Park,"17 mph, In From RF"
Tony Gonsolin,Los Angeles Dodgers,Clear,2022-04-09,2,3,1,0,1,662931,Germán Márquez,Colorado Rockies,76,Coors Field,"14 mph, L To R"
Joe Musgrove,San Diego Padres,Partly Cloudy,2022-04-09,5,2,1,0,1,663404,Zach Davies,Arizona Diamondbacks,97,Chase Field,"1 mph, Calm"
Justin Verlander,Houston Astros,Clear,2022-04-09,0,2,0,0,0,661040,Noah Syndergaard,Los Angeles Angels,72,Angel Stadium,"12 mph, Out To CF"
Daulton Jefferies,Oakland Athletics,Cloudy,2022-04-10,4,1,0,0,0,661129,Zach Eflin,Philadelphia Phillies,48,Citizens Bank Park,"17 mph, L To R"
Tyler Wells,Baltimore Orioles,Dome,2022-04-10,0,8,0,0,0,661916,Corey Kluber,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Michael Kopech,Chicago White Sox,Sunny,2022-04-10,10,1,1,2,0,662887,Tarik Skubal,Detroit Tigers,48,Comerica Park,"7 mph, Out To CF"
Carlos Carrasco,New York Mets,Overcast,2022-04-10,2,4,1,0,1,662570,Erick Fedde,Washington Nationals,47,Nationals Park,"14 mph, L To R"
Hunter Greene,Cincinnati Reds,Sunny,2022-04-10,6,3,0,0,0,661573,Ian Anderson,Atlanta Braves,68,Truist Park,"1 mph, Calm"
