away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Tyler Glasnow,Los Angeles Dodgers,Dome,2024-03-20,5,2,0,0,0,745444,Yu Darvish,San Diego Padres,72,Gocheok Sky Dome,"0 mph, None"
Joe Musgrove,San Diego Padres,Dome,2024-03-21,15,11,1,5,1,746175,Yoshinobu Yamamoto,Los Angeles Dodgers,72,Gocheok Sky Dome,"0 mph, None"
Patrick Sandoval,Los Angeles Angels,Cloudy,2024-03-28,3,11,1,1,2,747060,Corbin Burnes,Baltimore Orioles,54,Oriole Park at Camden Yards,"9 mph, In From LF"
Josiah Gray,Washington Nationals,Clear,2024-03-28,2,8,0,0,0,746737,Frankie Montas,Cincinnati Reds,56,Great American Ball Park,"10 mph, R To L"
Logan Webb,San Francisco Giants,Partly Cloudy,2024-03-28,4,6,0,0,0,745445,Yu Darvish,San Diego Padres,63,Petco Park,"12 mph, L To R"
Miles Mikolas,St. Louis Cardinals,Partly Cloudy,2024-03-28,1,7,1,0,2,746165,Tyler Glasnow,Los Angeles Dodgers,66,Dodger Stadium,"6 mph, Out To RF"
José Berríos,Toronto Blue Jays,Dome,2024-03-28,8,2,1,0,1,745116,Zach Eflin,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Pablo López,Minnesota Twins,Sunny,2024-03-28,4,1,1,1,1,746335,Cole Ragans,Kansas City Royals,65,Kauffman Stadium,"16 mph, R To L"
Tarik Skubal,Detroit Tigers,Partly Cloudy,2024-03-28,1,0,0,0,0,746821,Garrett Crochet,Chicago White Sox,50,Guaranteed Rate Field,"14 mph, Out To LF"
Mitch Keller,Pittsburgh Pirates,Roof Closed,2024-03-28,6,5,0,0,0,746089,Jesús Luzardo,Miami Marlins,72,loanDepot park,"0 mph, None"
Nestor Cortes,New York Yankees,Roof Closed,2024-03-28,5,4,1,0,3,746418,Framber Valdez,Houston Astros,73,Minute Maid Park,"0 mph, None"
Justin Steele,Chicago Cubs,Roof Closed,2024-03-28,3,4,0,0,0,745039,Nathan Eovaldi,Texas Rangers,74,Globe Life Field,"0 mph, None"
Shane Bieber,Cleveland Guardians,Cloudy,2024-03-28,8,0,0,0,0,745687,Alex Wood,Oakland Athletics,55,Oakland Coliseum,"10 mph, Out To RF"
Kyle Freeland,Colorado Rockies,Overcast,2024-03-28,1,16,1,0,2,747224,Zac Gallen,Arizona Diamondbacks,73,Chase Field,"2 mph, Calm"
Brayan Bello,Boston Red Sox,Roof Closed,2024-03-28,6,4,0,0,0,745283,Luis Castillo,Seattle Mariners,53,T-Mobile Park,"0 mph, Calm"
Freddy Peralta,Milwaukee Brewers,Sunny,2024-03-29,3,1,0,0,0,745848,Jose Quintana,New York Mets,53,Citi Field,"17 mph, L To R"
Spencer Strider,Atlanta Braves,Sunny,2024-03-29,9,3,0,0,0,745604,Zack Wheeler,Philadelphia Phillies,56,Citizens Bank Park,"17 mph, In From LF"
Chris Bassitt,Toronto Blue Jays,Dome,2024-03-29,2,8,0,0,0,745117,Aaron Civale,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Martín Pérez,Pittsburgh Pirates,Partly Cloudy,2024-03-29,7,2,0,0,0,746091,A.J. Puk,Miami Marlins,73,loanDepot park,"13 mph, In From LF"
Carlos Rodón,New York Yankees,Roof Closed,2024-03-29,7,1,1,0,1,746412,Cristian Javier,Houston Astros,73,Minute Maid Park,"0 mph, None"
Cal Quantrill,Colorado Rockies,Clear,2024-03-29,3,7,1,0,2,747223,Merrill Kelly,Arizona Diamondbacks,81,Chase Field,"10 mph, Out To RF"
Logan Allen,Cleveland Guardians,Partly Cloudy,2024-03-29,6,4,1,3,0,745682,Ross Stripling,Oakland Athletics,54,Oakland Coliseum,"15 mph, Out To RF"
